Invoice date,Amount line,Product ID,Account Name,Billing Addresses,Category,Year,Month,Quarter
2017-01-03,56.75,0102,johnson controls,"Cork, Ireland",Tooling,2017,1,1
2017-01-03,38.04,0102,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-03,74.9,0103,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-03,76.84,0102,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-03,5.97,0101,linde plc,"Guildford, United Kingdom",Tooling,2017,1,1
2017-01-03,178.3,0102,linde plc,"Guildford, United Kingdom",Tooling,2017,1,1
2017-01-03,146.47,0016,dow inc.,"Midland, Michigan",Manufacturing,2017,1,1
2017-01-03,123.26,0013,dow inc.,"Midland, Michigan",Manufacturing,2017,1,1
2017-01-03,12.91,0102,charter communications,"Stamford, Connecticut",Tooling,2017,1,1
2017-01-03,12.93,0102,kraft heinz,"Chicago, Illinois; Pittsburgh, Pennsylvania",Tooling,2017,1,1
2017-01-03,2070.31,0103,ralph lauren corporation,"New York City, New York",Tooling,2017,1,1
2017-01-03,167.29,0103,conocophillips,"Houston, Texas",Tooling,2017,1,1
2017-01-03,719.19,0103,blackstone,"New York City, New York",Tooling,2017,1,1
2017-01-03,37.5,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-03,111.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-03,36.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-03,145.5,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-03,185.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-03,150.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-03,412.5,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-04,220.26,0102,agilent technologies,"Santa Clara, California",Tooling,2017,1,1
2017-01-04,95.14,0102,agilent technologies,"Santa Clara, California",Tooling,2017,1,1
2017-01-04,768.72,0102,fidelity national information services,"Jacksonville, Florida",Tooling,2017,1,1
2017-01-04,2.87,0102,fidelity national information services,"Jacksonville, Florida",Tooling,2017,1,1
2017-01-04,63.39,0102,agilent technologies,"Santa Clara, California",Tooling,2017,1,1
2017-01-04,148.03,0102,masco,"Livonia, Michigan",Tooling,2017,1,1
2017-01-04,24.42,0102,masco,"Livonia, Michigan",Tooling,2017,1,1
2017-01-04,114.0,0102,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-04,73.02,0102,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-04,0.94,0102,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-04,1.89,0102,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-04,142.32,0101,campbell soup company,"Camden, New Jersey",Tooling,2017,1,1
2017-01-04,158.0,0102,linde plc,"Guildford, United Kingdom",Tooling,2017,1,1
2017-01-04,520.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-04,587.72,0101,campbell soup company,"Camden, New Jersey",Tooling,2017,1,1
2017-01-04,760.84,0103,blackstone,"New York City, New York",Tooling,2017,1,1
2017-01-04,49.66,0102,ralph lauren corporation,"New York City, New York",Tooling,2017,1,1
2017-01-04,1341.47,0103,ralph lauren corporation,"New York City, New York",Tooling,2017,1,1
2017-01-04,29.22,0014,pinnacle west,"Phoenix, Arizona",Manufacturing,2017,1,1
2017-01-04,110.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-04,340.01,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-04,531.6,0103,qualcomm,"San Diego, California",Tooling,2017,1,1
2017-01-04,136.4,0103,qualcomm,"San Diego, California",Tooling,2017,1,1
2017-01-04,151.4,0014,yum! brands,"Louisville, Kentucky",Manufacturing,2017,1,1
2017-01-04,344.04,0014,yum! brands,"Louisville, Kentucky",Manufacturing,2017,1,1
2017-01-05,2.2,0101,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-05,5.56,0101,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-05,141.96,0101,boston scientific,"Marlborough, Massachusetts",Tooling,2017,1,1
2017-01-05,7.79,0101,american water works,"Camden, New Jersey",Tooling,2017,1,1
2017-01-05,367.9,0016,dow inc.,"Midland, Michigan",Manufacturing,2017,1,1
2017-01-05,71.05,0016,micron technology,"Boise, Idaho",Manufacturing,2017,1,1
2017-01-05,65.5,0101,linde plc,"Guildford, United Kingdom",Tooling,2017,1,1
2017-01-05,18.92,0101,royal caribbean group,"Miami, Florida",Tooling,2017,1,1
2017-01-05,807.0,0013,willis towers watson,"London, United Kingdom",Manufacturing,2017,1,1
2017-01-05,561.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
2017-01-05,150.0,0103,ibm,"Armonk, New York",Tooling,2017,1,1
